"GoodID";"GoodName";"Description";"Country";"Articul";"RetailPrice";"WholesalePrice";"RetailPriceWithDiscount";"MinQuantityForOrder";"Category";"WarehouseQuantity";"Display";"TheSize";"Color";"Material";"FashionName";"Sex";"ShortName";"GoodTypeFull";"ProducerCollectionFull";"Season";"Barcode";"Pack";"PackSize";"PowerSupply";"CountUnitsPerBox";"Age";"Measure";"MeasureUnit";"Closeout";"RetailPricePerUnit";"WholesalePricePerUnit";"EqualSalePrice";"EqualWholesalePrice";"EqualCurrencyName";"PrimeCost";"SuppLierCode";"Analogs";"WholesaleCount";"MesUnit";"PriceDiscountPercent";"PCName";"ModelGoodID";"GoodTypeName";"SynchronizationSection";"GuaranteePeriod";"GuaranteeMesUnit";"SynchronizationSectionFull";"MinWarehouseQuantity";"WarehouseQuantityForPartner"
29191;"Аксессуары Зонт леопард принт одн слойн пластмас руч Ж чкерн золот полиэстер 20 1411/29 f Pasotti";"Зонт леопард принт одн слойн пластмас руч ";"Pasotti ";"20 1411/29 f ";15000;0;15000;0;-1;1;1;"";"чкерн золот ";"полиэстер ";"Аксессуары Зонт леопард принт одн слойн пластмас руч Ж чкерн золот полиэстер 20 1411/29 f Pasotti";2;"";"Аксессуары";"Pasotti ";"";"2914100354155";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"8=1,000"
29201;"Аксессуары Зонт мелк верт полос одно слойн пластмас руч М бронза полиэстер 478 6768/8 W03 Pasotti";"Зонт мелк верт полос одно слойн пластмас руч ";"Pasotti ";"478 6768/8 W03 ";19500;0;19500;0;-1;2;1;"";"бронза";"полиэстер ";"Аксессуары Зонт мелк верт полос одно слойн пластмас руч М бронза полиэстер 478 6768/8 W03 Pasotti";1;"";"Аксессуары";"Pasotti ";"";"2914100354254";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000|8=1,000"
29197;"Аксессуары Зонт мелк принт  одно слойн дерев руч М син коричн полиэстер 478 52682/3 WOOD Pasotti";"Зонт мелк принт  одно слойн дерев руч  ";"Pasotti ";"478 52682/3 WOOD ";18000;0;18000;0;-1;2;1;"";"син коричн";"полиэстер ";"Аксессуары Зонт мелк принт  одно слойн дерев руч М син коричн полиэстер 478 52682/3 WOOD Pasotti";1;"";"Аксессуары";"Pasotti ";"";"2914100354216";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000|8=1,000"
29195;"Аксессуары Зонт однотон  двух слойн внутри тигр пр пластм руч Ж черн полиэстер 189 1409/29 B17 Pasotti";"Зонт однотон  двух слойн внутри тигр пр пластм руч ";"Pasotti ";"189 1409/29 B17 ";23100;0;23100;0;-1;2;1;"";"черн";"полиэстер ";"Аксессуары Зонт однотон  двух слойн внутри тигр пр пластм руч Ж черн полиэстер 189 1409/29 B17 Pasotti";2;"";"Аксессуары";"Pasotti ";"";"2914100354193";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000|8=1,000"
29196;"Аксессуары Зонт однотон  одно слойн сереб руч М черн полиэстер 478 50890/5 M31 Pasotti";"Зонт однотон  одно слойн сереб руч  ";"Pasotti ";"478 50890/5 M31 ";22000;0;22000;0;-1;2;1;"";"черн";"полиэстер ";"Аксессуары Зонт однотон  одно слойн сереб руч М черн полиэстер 478 50890/5 M31 Pasotti";1;"";"Аксессуары";"Pasotti ";"";"2914100354209";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000|8=1,000"
29187;"Аксессуары Зонт однотон внутр цвет принт кож руч Ж бордовый полиэстер 189 VL533/2 Z16 Pasotti";"Зонт однотон внутр цвет принт кож руч";"Pasotti ";"189 VL533/2 Z16";24500;0;24500;0;-1;2;1;"";"бордовый";"полиэстер ";"Аксессуары Зонт однотон внутр цвет принт кож руч Ж бордовый полиэстер 189 VL533/2 Z16 Pasotti";2;"";"Аксессуары";"Pasotti ";"";"2914100354117";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000|8=1,000"
29186;"Аксессуары Зонт однотон внутр цвет принт колеч на руч Ж бордовый полиэстер 189 5V777/1 C26 Pasotti";"Зонт однотон внутр цвет принт колеч на руч";"Pasotti ";"189 5V777/1 C26";23100;0;23100;0;-1;2;1;"";"бордовый";"полиэстер ";"Аксессуары Зонт однотон внутр цвет принт колеч на руч Ж бордовый полиэстер 189 5V777/1 C26 Pasotti";2;"";"Аксессуары";"Pasotti ";"";"2914100354100";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000|8=1,000"
29198;"Аксессуары Зонт однотон двух слойн золот руч внутри принт Ж золот полиэстер 189 VL028/1 P27 Pasotti";"Зонт однотон двух слойн золот руч внутри принт  ";"Pasotti ";"189 VL028/1 P27 ";24500;0;24500;0;-1;2;1;"";"золот ";"полиэстер ";"Аксессуары Зонт однотон двух слойн золот руч внутри принт Ж золот полиэстер 189 VL028/1 P27 Pasotti";2;"";"Аксессуары";"Pasotti ";"";"2914100354223";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000|8=1,000"
29200;"Аксессуары Зонт однотон двух слойн пластмас руч внутри кр цвет Ж тем син полиэстер 189 21065/13 C26 Pasotti";"Зонт однотон двух слойн пластмас руч внутри кр цвет  ";"Pasotti ";"189 21065/13 C26";23100;0;23100;0;-1;1;1;"";"тем син";"полиэстер ";"Аксессуары Зонт однотон двух слойн пластмас руч внутри кр цвет Ж тем син полиэстер 189 21065/13 C26 Pasotti";2;"";"Аксессуары";"Pasotti ";"";"2914100354247";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000"
29209;"Аксессуары Зонт однотон двух слойн пластмас руч внутри принт Ж черн полиэстер 189 VK788/1 E4 Pasotti";"Зонт однотон двух слойн пластмас руч внутри принт";"Pasotti ";"189 VK788/1 E4 ";24000;0;24000;0;-1;2;1;"";"черн";"полиэстер ";"Аксессуары Зонт однотон двух слойн пластмас руч внутри принт Ж черн полиэстер 189 VK788/1 E4 Pasotti";2;"";"Аксессуары";"Pasotti ";"";"2914100354339";"";"";"";"";"";0;"";0;0;0;0;0;"";0;"";"";0;"";0;"Pasotti ";;"Аксессуары";"";"";0;"";0;"2=1,000|8=1,000"
