GoodID,GoodName,Description,Country,Articul,RetailPrice,WholesalePrice,RetailPriceWithDiscount,MinQuantityForOrder,Category,WarehouseQuantity,Display,TheSize,Color,Material,FashionName,Sex,ShortName,GoodTypeFull,ProducerCollectionFull,Season,Barcode,Pack,PackSize,PowerSupply,CountUnitsPerBox,Age,Measure,MeasureUnit,Closeout,RetailPricePerUnit,WholesalePricePerUnit,EqualSalePrice,EqualWholesalePrice,EqualCurrencyName,PrimeCost,SuppLierCode,Analogs,WholesaleCount,MesUnit,PriceDiscountPercent,PCName,ModelGoodID,GoodTypeName,SynchronizationSection,GuaranteePeriod,GuaranteeMesUnit,SynchronizationSectionFull,MinWarehouseQuantity,WarehouseQuantityForPartner
35227,Одежда Рубашка темн синий Шелк GIANNA 004 MARELLA N1 40(р),Рубашка ,MARELLA,GIANNA 004,25000,0,25000,0,-1,1,1,40,темн синий,шелк ,Одежда Рубашка темн синий шелк GIANNA 004 MARELLA N1,0,,Одежда,MARELLA,,2914100351048,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
34326,Одежда Рубашка фуксия шелк STENO 004 MARELLA N1 40(р),Рубашка,MARELLA,STENO 004,20600,0,20600,0,-1,1,1,40,фуксия,шелк ,Одежда Рубашка фуксия шелк STENO 004 MARELLA N1,0,,Одежда,MARELLA,зима,2914100322970,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
34327,Одежда Рубашка фуксия шелк STENO 004 MARELLA N1 42(р),Рубашка,MARELLA,STENO 004,20600,0,20600,0,-1,1,1,42,фуксия,шелк ,Одежда Рубашка фуксия шелк STENO 004 MARELLA N1,0,,Одежда,MARELLA,зима,2914100322987,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
35648,Одежда Рубашка черный лен OCEAN 001 MARELLA 38(р),Рубашка,MARELLA,OCEAN 001,30000,0,30000,0,-1,1,1,38,черный,лен ,Одежда Рубашка черный лен OCEAN 001 MARELLA,0,,Одежда,MARELLA,лето,2914100367117,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
35649,Одежда Рубашка черный лен OCEAN 001 MARELLA 40(р),Рубашка,MARELLA,OCEAN 001,30000,0,30000,0,-1,1,1,40,черный,лен ,Одежда Рубашка черный лен OCEAN 001 MARELLA,0,,Одежда,MARELLA,лето,2914100367124,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
35650,Одежда Рубашка черный лен OCEAN 001 MARELLA 42(р),Рубашка,MARELLA,OCEAN 001,30000,0,30000,0,-1,1,1,42,черный,лен ,Одежда Рубашка черный лен OCEAN 001 MARELLA,0,,Одежда,MARELLA,лето,2914100367131,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
35651,Одежда Рубашка черный лен OCEAN 001 MARELLA 44(р),Рубашка,MARELLA,OCEAN 001,30000,0,30000,0,-1,1,1,44,черный,лен ,Одежда Рубашка черный лен OCEAN 001 MARELLA,0,,Одежда,MARELLA,лето,2914100367148,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
35652,Одежда Рубашка черный лен OCEAN 001 MARELLA 46(р),Рубашка,MARELLA,OCEAN 001,30000,0,30000,0,-1,1,1,46,черный,лен ,Одежда Рубашка черный лен OCEAN 001 MARELLA,0,,Одежда,MARELLA,лето,2914100367155,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
35653,Одежда Рубашка черный лен OCEAN 001 MARELLA 48(р),Рубашка,MARELLA,OCEAN 001,30000,0,30000,0,-1,1,1,48,черный,лен ,Одежда Рубашка черный лен OCEAN 001 MARELLA,0,,Одежда,MARELLA,лето,2914100367162,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
34632,Одежда рубашка электро хлопок FELIX 002 MARELLA N1 44(р),рубашка ,MARELLA,FELIX 002,18400,0,18400,0,-1,1,1,44,электро,хлопок ,Одежда рубашка электро хлопок FELIX 002 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100331736,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
34633,Одежда рубашка электро хлопок FELIX 002 MARELLA N1 46(р),рубашка ,MARELLA,FELIX 002,18400,0,18400,0,-1,1,1,46,электро,хлопок ,Одежда рубашка электро хлопок FELIX 002 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100331743,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
34634,Одежда рубашка электро хлопок FELIX 002 MARELLA N1 48(р),рубашка ,MARELLA,FELIX 002,18400,0,18400,0,-1,1,1,48,электро,хлопок ,Одежда рубашка электро хлопок FELIX 002 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100331750,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
34962,Одежда руюашка леопард леопард полиэстер LAVA 004 MARELLA N1 42(р),руюашка леопард,MARELLA,LAVA 004,30000,0,30000,0,-1,1,1,42,леопард,полиэстер ,Одежда руюашка леопард леопард полиэстер LAVA 004 MARELLA N1,0,,Одежда,MARELLA,,2914100341056,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33577,Одежда Сарафан на лям берюз шелк AGAMI 001 MARELLA N1 40(р),Сарафан на лям,MARELLA,AGAMI 001,42400,0,42400,0,-1,1,1,40,берюз,шелк ,Одежда Сарафан на лям берюз шелк AGAMI 001 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306338,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33578,Одежда Сарафан на лям берюз шелк AGAMI 001 MARELLA N1 42(р),Сарафан на лям,MARELLA,AGAMI 001,42400,0,42400,0,-1,1,1,42,берюз,шелк ,Одежда Сарафан на лям берюз шелк AGAMI 001 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306345,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33579,Одежда Сарафан на лям берюз шелк AGAMI 001 MARELLA N1 44(р),Сарафан на лям,MARELLA,AGAMI 001,42400,0,42400,0,-1,1,1,44,берюз,шелк ,Одежда Сарафан на лям берюз шелк AGAMI 001 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306352,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33572,Одежда Сарафан на лям гол шелк AGAMI 011 MARELLA N1 38(р),Сарафан на лям,MARELLA,AGAMI 011,42400,0,42400,0,-1,1,1,38,гол,шелк ,Одежда Сарафан на лям гол шелк AGAMI 011 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306277,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33573,Одежда Сарафан на лям гол шелк AGAMI 011 MARELLA N1 40(р),Сарафан на лям,MARELLA,AGAMI 011,42400,0,42400,0,-1,1,1,40,гол,шелк ,Одежда Сарафан на лям гол шелк AGAMI 011 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306284,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33574,Одежда Сарафан на лям гол шелк AGAMI 011 MARELLA N1 42(р),Сарафан на лям,MARELLA,AGAMI 011,42400,0,42400,0,-1,1,1,42,гол,шелк ,Одежда Сарафан на лям гол шелк AGAMI 011 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306291,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33575,Одежда Сарафан на лям гол шелк AGAMI 011 MARELLA N1 44(р),Сарафан на лям,MARELLA,AGAMI 011,42400,0,42400,0,-1,1,1,44,гол,шелк ,Одежда Сарафан на лям гол шелк AGAMI 011 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306307,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33555,Одежда Сарафан на лям оранжевый шелк INFANTE 007 MARELLA N1 38(р),Сарафан на лям ,MARELLA,INFANTE 007,36600,0,36600,0,-1,1,1,38,оранжевый,шелк ,Одежда Сарафан на лям оранжевый шелк INFANTE 007 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306109,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33556,Одежда Сарафан на лям оранжевый шелк INFANTE 007 MARELLA N1 40(р),Сарафан на лям ,MARELLA,INFANTE 007,36600,0,36600,0,-1,1,1,40,оранжевый,шелк ,Одежда Сарафан на лям оранжевый шелк INFANTE 007 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306116,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33557,Одежда Сарафан на лям оранжевый шелк INFANTE 007 MARELLA N1 42(р),Сарафан на лям ,MARELLA,INFANTE 007,36600,0,36600,0,-1,1,1,42,оранжевый,шелк ,Одежда Сарафан на лям оранжевый шелк INFANTE 007 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306123,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33558,Одежда Сарафан на лям оранжевый шелк INFANTE 007 MARELLA N1 44(р),Сарафан на лям ,MARELLA,INFANTE 007,36600,0,36600,0,-1,1,1,44,оранжевый,шелк ,Одежда Сарафан на лям оранжевый шелк INFANTE 007 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306130,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33562,Одежда Сарафан на лям электрик шелк INFANTE 005 MARELLA N1 44(р),Сарафан на лям ,MARELLA,INFANTE 005,36600,0,36600,0,-1,1,1,44,электрик,шелк ,Одежда Сарафан на лям электрик шелк INFANTE 005 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306178,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33625,Одежда Сарафан разр по бок разнцвет шелк BERGER 002 MARELLA N1 38(р),Сарафан разр по бок ,MARELLA,BERGER 002,33800,0,33800,0,-1,1,1,38,разнцвет,шелк ,Одежда Сарафан разр по бок разнцвет шелк BERGER 002 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306819,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
33630,Одежда Сарафан разр по бок черн с бел узор шелк BERGER 001 MARELLA N1 42(р),Сарафан разр по бок ,MARELLA,BERGER 001,33800,0,33800,0,-1,1,1,42,черн с бел узор,шелк ,Одежда Сарафан разр по бок черн с бел узор шелк BERGER 001 MARELLA N1,0,,Одежда,MARELLA,лето,2914100306864,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=1,000"
30348,Одежда СВИТЕР MARELLA  ITALY  A\W 20 Сиреневый полиамид ANSIA 002 MARELLA N1 L(р),СВИТЕР MARELLA  ITALY  A\W 20 ,MARELLA,ANSIA 002,24900,0,24900,0,-1,1,1,L,сиреневый,полиамид,Одежда СВИТЕР MARELLA  ITALY  A\W 20 сиреневый полиамид ANSIA 002 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100195789,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
30346,Одежда СВИТЕР MARELLA  ITALY  A\W 20 сиреневый полиамид ANSIA 002 MARELLA N1 S(р),СВИТЕР MARELLA  ITALY  A\W 20 ,MARELLA,ANSIA 002,24900,0,24900,0,-1,1,1,S,сиреневый,полиамид,Одежда СВИТЕР MARELLA  ITALY  A\W 20 сиреневый полиамид ANSIA 002 MARELLA N1,0,,Одежда,MARELLA,весна-осень,2914100195765,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"38=1,000"
34764,Одежда Свитер барашек черн полиэстер GEO1 004 MARELLA N1 L(р),Свитер барашек ,MARELLA,GEO1 004,21500,0,21500,0,-1,2,1,L,черн,полиэстер ,Одежда Свитер барашек черн полиэстер GEO1 004 MARELLA N1,0,,Одежда,MARELLA,зима,2914100333112,,,,,,0,,0,0,0,0,0,,0,,,0,,0,MARELLA,,Одежда,,,0,,0,"3=2,000"
